Titlu,nume,judet,oras,adresa,longitudine,latitudine
BV-OLD CARE ANGEL SRL,Centrul Angel,Judetul Brasov,Municipiu Brasov,"Strada Eftimie Murgu, 500271 Brasov",25.6119908,45.6382815
BV-ONCO CARD SRL,Spitalul de Oncologie MedLife Brasov,Judetul Brasov,Municipiu Brasov,"Strada Carierei 65A, 500052 Brasov",25.575737,45.6559463
BV-SC DIABET CENTER SRL,Metamed ( Centrul de Diabet si Nutritie ),Judetul Brasov,Municipiu Brasov,"Str. Carpatilor Nr:21, 500260 Brasov",25.6180648,45.6425585
BV-SPITAL CLINIC DE PNEUMOFTIZIOLOGIE BRASOV,Spitalul Clinic de Pneumoftiziologie,Judetul Brasov,Municipiu Brasov,"Aleea Dealul Spirii 12, 500118 Brasov",25.5738109,45.6429853
BV-SPITAL CLINIC DE PSIHIATRIE SI NEUROLOGIE BRASOV,Spitalul Clinic de Psihiatrie si Neurologie Brasov,Judetul Brasov,Municipiu Brasov,"Strada Prundului 7-9, 500123 Brasov",25.5849024,45.6379828
BV-SPITALUL CLINIC DE URGENTA PENTRU COPII BRASOV,Spitalul Clinic de Copii,Judetul Brasov,Municipiu Brasov,"Strada Nicopole 45, 500063 Brasov",25.5869029,45.6568234
"BV-SPITALUL DE OBSTETRICA-GINECOLOGIE ""DR.ION SBARCEA"" BRASOV","Spitalul Clinic de Obstetrica Ginecologie ""Dr. I.A. Sbarcea"" Brasov",Judetul Brasov,Municipiu Brasov,"Str Gheorghe Baritiu 36, 500025 Brasov",25.5850168,45.6406742
BV-SPITALUL GENERAL CF BRASOV,Spitalul Clinic CFR Brasov,Judetul Brasov,Municipiu Brasov,"Bulevardul 15 Noiembrie 60, 500097 Brasov",25.6060723,45.6489047
BV-SPITALUL JUDETEAN DE URGENTA BRASOV,Spitalul Clinic Judetean de Urgenta,Judetul Brasov,Municipiu Brasov,"Calea Bucuresti 25, 500326 Brasov",25.6205779,45.6485945
BV-SPITALUL MUNICIPAL CODLEA,Spitalul Municipal,Judetul Brasov,Municipiu Codlea,"Strada 9 Mai 10, 505100 Codlea",25.4473033,45.7026004
BV-SPITALUL MUNICIPAL DR- AUREL TULBURE FAGARAS,Spitalul Municipal Fagaras,Judetul Brasov,Municipiu Fagaras,"Strada Ghioceilor 1, 505200 Fagaras",24.95827,45.8408631
BV-SPITALUL MUNICIPAL SACELE,Spitalul Municipal Sacele,Judetul Brasov,Municipiu Sacele,"Strada Oituz 54, 505600 Sacele",25.7168978,45.6108224
BV-SPITALUL ORASENESC RUPEA,Spitalul Orasenesc Rupea,Judetul Brasov,Oras Rupea,"Str. Republicii 128, 505500 Rupea",25.2207695,46.0375806
BV-SPITALUL ORASENESC VICTORIA,Spitalul Orasenesc Victoria,Judetul Brasov,Oras Victoria,"Str. Baii 2, 505700 Victoria",24.7058722,45.7258816
BV-SPITALUL ORASENESC ZARNESTI,Spitalul Doctor Caius Tiberiu Sparchez,Judetul Brasov,Oras Zarnesti,"Strada Policlinicii 12, 505800 Zarnesti",25.3366817,45.5703878
BZ-AMAMED EXPERT CENTER SRL,Amamed Expert Center,Judetul Buzau,Municipiu Ramnicu Sarat,"Strada Matei Basarab 71, 125300 Ramnicu Sarat",27.0508719,45.3860132
BZ-Spitalul CF Galati - Sectia exterioara CF Buzau,SPITALUL GENERAL CAI FERATE - GALATI,Judetul Buzau,Municipiu Buzau,"Policlinica si Spitalul C.F.R. Buzau, Bulevardul Republicii 8-12, 120219 Buzau",26.8364041,45.1435664
BZ-Spitalul de Boli Cronice Smeeni,Spitalul de Boli Cronice Smeeni,Judetul Buzau,Comuna Smeeni,"DJ203D, 127595 Smeeni",26.8609387,44.9967268
BZ-SPITALUL DE PSIHIATRIE SI PENTRU MASURI DE SIGURANTA SAPOCA,Spitalul de Psihiatrie si pentru Masuri de Siguranta Sapoca,Judetul Buzau,Comuna Sapoca,"Strada Principala 117, 127535 Sapoca",26.7456175,45.2386029
BZ-SPITALUL JUDETEAN BUZAU,Spitalul Judetean de Urgenta Buzau,Judetul Buzau,Municipiu Buzau,"Bulevardul Stadionului 7, 120140 Buzau",26.8011624,45.1505811
BZ-SPITALUL MUNICIPAL RAMNICU SARAT,Spitalul Municipal,Judetul Buzau,Municipiu Ramnicu Sarat,"Strada Nicolae Balcescu 2, 125300 Ramnicu Sarat",27.0522338,45.3789218
BZ-SPITALUL ORASENESC NEHOIU,Spitalul Orasenesc Nehoiu,Judetul Buzau,Oras Nehoiu,"Strada Alexandru Ioan Cuza 17, 125100 Nehoiu",26.3009512,45.4201332
CJ-ANGIOCARE S.R.L.,Spitalul MONZA ARES,Judetul Cluj,Municipiu Cluj-Napoca,"Str. Republicii Nr 8, 400347 Cluj-Napoca",23.5868088,46.7667717
CJ-CENTRUL MEDICAL TRANSILVANIA SRL,Centrul Medical Transilvania,Judetul Cluj,Municipiu Cluj-Napoca,"Str. Viilor 54, 400347 Cluj-Napoca",23.5836826,46.7545684
CJ-CENTRUL MEDICAL UNIREA SRL,Reteaua de Sanatate REGINA MARIA - Spitalul Cluj,Judetul Cluj,Municipiu Cluj-Napoca,"Calea Dorobantilor 29, 400117 Cluj-Napoca",23.6031032,46.7724591
CJ-INSTITUTUL DE UROLOGIE SI TRANSPLANT RENAL CLUJ-NAPOCA,Institutul Clinic de Urologie si Transplant Renal,Judetul Cluj,Municipiu Cluj-Napoca,"Str. Clinicilor 4-6, et. 3, 400000 Cluj-Napoca",23.5836902,46.7663822
"CJ-INSTITUTUL INIMII DE URGENTA PENTRU BOLI CARDIOVASCULARE ""NICULAE STANCIOIU"" CLUJ-NAPOCA",Institutul Inimii Niculae Stancioiu,Judetul Cluj,Municipiu Cluj-Napoca,"Calea Motilor 19-21, 400001 Cluj-Napoca",23.5834099,46.7667938
CJ-INSTITUTUL ONCOLOGIC I CHIRICUTA CLUJ-NAPOCA,"Institutul Oncologic ""Prof. Dr. Ion Chiricuta"" Cluj-Napoca",Judetul Cluj,Municipiu Cluj-Napoca,"Str. Republicii 34-36, 400015 Cluj-Napoca",23.5874077,46.7634268
"CJ-INST.REG.DE GASTRO.-HEPATO. ""PROF. DR. O.FODOR""",Institutul Regional de Gastroenterologie si Hepatologie Prof. Dr. Octavian Fodor,Judetul Cluj,Municipiu Cluj-Napoca,"Strada Croitorilor 19, 400394 Cluj-Napoca",23.5923805,46.7761376
CJ-POLARIS MEDICAL SA,Medicover Hospital,Judetul Cluj,Comuna Baciu,"Strada Principala, nr. 323T, 407062 Suceagu",23.4827866,46.7946739
CJ-SPITALUL CLINIC DE BOLI INFECTIOASE CLUJ,Spitalul Clinic de Boli Infectioase,Judetul Cluj,Municipiu Cluj-Napoca,"Strada Iuliu Moldovan 23, 400003 Cluj-Napoca",23.5839605,46.7604263
CJ-SPITALUL CLINIC DE RECUPERARE CLUJ-NAPOCA,Spitalul Clinic de Recuperare,Judetul Cluj,Municipiu Cluj-Napoca,"Str. Viilor 46-50, 400066 Cluj-Napoca",23.5823162,46.7548915
CJ-SPITALUL CLINIC DE URGENTA PENTRU COPII CLUJ-NAPOCA,Spitalul Clinic de Urgenta pentru Copii Cluj-Napoca,Judetul Cluj,Municipiu Cluj-Napoca,"Calea Motilor 66-68, 400370 Cluj-Napoca",23.5777947,46.7668723
CJ-SPITALUL CLINIC JUDETEAN  DE URGENTA CLUJ-NAPOCA,Spitalul Clinic Judetean de Urgenta Cluj,Judetul Cluj,Municipiu Cluj-Napoca,"Str. Clinicilor 3-5, 400347 Cluj-Napoca",23.5832459,46.7658357
CJ-SPITALUL CLINIC MUNICIPAL CLUJ-NAPOCA,Spitalul Clinic Municipal Cluj-Napoca,Judetul Cluj,Municipiu Cluj-Napoca,"Str. Tabacarilor 11, 400139 Cluj-Napoca",23.6071765,46.7893483
"CJ-SPITALUL DE PNEUMOFTIZIOLOGIE ""LEON DANIELLO"" CLUJ-NAPOCA",Spitalul Clinic de Pneumoftiziologie Leon Daniello,Judetul Cluj,Municipiu Cluj-Napoca,"Strada Bogdan Petriceicu Hasdeu 6, 400332 Cluj-Napoca",23.5829619,46.7639388
CJ-SPITALUL MUNICIPAL DEJ,Spitalul Municipal,Judetul Cluj,Municipiu Dej,"Strada 1 Mai 14-16, 405200 Dej",23.8819584,47.1418522
"CJ-SPITALUL MUNICIPAL ""DR.CORNEL IGNA"" CAMPIA TURZII",Spitalul Municipal,Judetul Cluj,Municipiu Campia Turzii,"Strada Avram Iancu 33, 405100 Campia Turzii",23.8822416,46.546887
CJ-SPITALUL MUNICIPAL GHERLA,Spitalul Municipal Gherla,Judetul Cluj,Municipiu Gherla,"E576, 405300 Gherla",23.9046942,47.0244055
CJ-SPITALUL MUNICIPAL TURDA,Spitalul Municipal Turda,Judetul Cluj,Municipiu Turda,"Strada Andrei Muresanu 12-16, Turda",23.7770304,46.5789976
CJ-SPITALUL ORASENESC HUEDIN,Spitalul Orasenesc Huedin,Judetul Cluj,Oras Huedin,"Str. Spitalului nr. 42, 405400 Huedin",23.0154832,46.8627109
CJ-SPITALUL UNIVERSITAR CF CLUJ,Spitalul Universitar C.F. Cluj,Judetul Cluj,Municipiu Cluj-Napoca,"Str. Republicii 18-20, 400015 Cluj-Napoca",23.58728,46.7656844
CJ-VALDI MEDICA SRL,Spitalul MedLife Humanitas Cluj,Judetul Cluj,Municipiu Cluj-Napoca,"Strada Frunzisului 77, 400664 Cluj-Napoca",23.5716178,46.7509338
CL-Spitalul de Pneumoftiziologie Calarasi,Spitalul Pneumoftiziologie Calarasi,Judetul Calarasi,Municipiu Calarasi,"Str. Rocadei 2, Calarasi",27.3516631,44.1936305
"CL-SPITALUL JUDETEAN DE URGENTA ""Dr. POMPEI SAMARIAN"" CALARASI","Spitalul Judetean de Urgenta ""Dr. Pompei Samarian""",Judetul Calarasi,Municipiu Calarasi,"Strada Eroilor 1-3, 910071 Calarasi",27.3275772,44.1920379
CL-SPITALUL MUNICIPAL OLTENITA,Spitalul Municipal Oltenita,Judetul Calarasi,Municipiu Oltenita,"Strada Argesului 134, 915400 Oltenita",26.6338716,44.080131
CS-SPITALUL JUDETEAN RESITA,Spitalul Judetean de Urgenta Resita,Judetul Caras-Severin,Municipiu Resita,"Aleea Herculane 8, 320154 Resita",21.8812036,45.325177
CS-SPITALUL MUNICIPAL CARANSEBES,Spitalul Municipal de Urgenta,Judetul Caras-Severin,Municipiu Caransebes,"Strada Gradinilor 12, 325400 Caransebes",22.2282928,45.4116276
CS-SPITALUL ORASENESC MOLDOVA NOUA,Spitalul Orasenesc Moldova Noua,Judetul Caras-Severin,Oras Moldova Noua,"Strada Sf. Varvara 1, 325500 Moldova Veche, Serbia",21.6229842,44.7262691
CS-SPITALUL ORASENESC ORAVITA,Spitalul Orasenesc Oravita,Judetul Caras-Severin,Oras Oravita,"Strada Spitalului 25, Oravita",21.6885815,45.0356917
CS-SPITALUL ORASENESC OTELU ROSU,Spitalul Municipal Otelu Rosu,Judetul Caras-Severin,Oras Otelu Rosu,"Bulevardul Republicii 109, 325700 Otelu Rosu",22.3677075,45.5258536
CT-ASCLEPIOS SRL,Centrul Medical Asclepios,Judetul Constanta,Municipiu Constanta,"Prelungirea Bucovinei 8B, 900664 Constanta",28.652277,44.1886124
CT-BRAINAXY CLINIC SRL,CABINET NEUROLOGIE DOCTOR AXELERAD ANY,Judetul Constanta,Municipiu Constanta,"Strada Andrei Muresanu 8, 900675 Constanta",28.6266917,44.1901795
CT-CENTRUL MEDICAL UNIREA SRL - SEDIUL SECUNDAR CONSTANTA,Regina Maria clinica Tomis,Judetul Constanta,Municipiu Constanta,"Bulevardul Mamaia 16A, 16B, 900189 Constanta",28.643289,44.182666
CT-DMZ MEDICAL S.R.L.,MedAZ - Consumabile Medicale de la A la Z,Judetul Ilfov,Comuna Cernica,"Strada Oxigenului 4A, 077035 Cernica",26.2308383,44.4168986
CT-MEDEUROPA SRL SEDIU SECUNDAR CONSTANTA,MedEuropa Constanta - Centru de Radioterapie,Judetul Constanta,Municipiu Constanta,"Strada Stefanita Voda 30, 900402 Constanta",28.6138837,44.2009126
CT-MEDICAL CERMED SRL,Cermed,Judetul Constanta,Municipiu Constanta,"Strada Constantin Hurmuzache 11, 900257 Constanta",28.6116868,44.1735701
CT-SANATORIUL BALNEAR SI DE RECUPERARE MANGALIA,Sanatoriul Balnear si de Recuperare Mangalia,Judetul Constanta,Municipiu Mangalia,"Strada Greenport, Saturn, 905560 Mangalia",28.5839783,43.8104606
CT-SANATORIUL BALNEAR SI DE RECUPERARE TECHIRGHIOL,Sanatoriul Balnear si de Recuperare Techirghiol,Judetul Constanta,Oras Techirghiol,"Strada Victor Climescu 34-40, 906100 Techirghiol",28.6053089,44.0494688
CT-SC ABC MEDICAL CENTER SRL,ABC Medical Center-Constanta,Judetul Constanta,Municipiu Constanta,"Strada Constantin Dobrogeanu Gherea 45, 900178 Constanta",28.6365379,44.1828095
CT-SC AQUA-MED CONSULTING SRL,Aqua Clinic,Judetul Constanta,Municipiu Constanta,"Bulevardul Tomis 142, A,900591, 900591 Constanta",28.6440821,44.1865817
CT-SC POZITRON MEDICAL INVESTIGATION SRL,Reteaua de Sanatate REGINA MARIA - Policlinica Pozimed,Judetul Constanta,Municipiu Constanta,"Strada Mircea cel Batran 102, 900663 Constanta",28.6510007,44.1821674
CT-SPITALUL CLINIC CF CONSTANTA,Spitalul Clinic CFR Constanta,Judetul Constanta,Municipiu Constanta,"Bulevardul 1 Mai 3-5, 900123 Constanta",28.6342408,44.1655174
CT-SPITALUL CLINIC DE BOLI INFECTIOASE CONSTANTA,Spitalul Clinic de Boli Infectioase,Judetul Constanta,Municipiu Constanta,"Bulevardul Ferdinand 100, 900178 Constanta",28.6379845,44.1711725
CT-SPITALUL CLINIC DE  PNEUMOFTIZIOLOGIE CONSTANTA,Spitalul Clinic de Pneumoftiziologie Palazu mare,Judetul Constanta,Municipiu Constanta,"Strada Santinelei 40, Constanta",28.6073483,44.2309822
"CT-SPITALUL CLINIC DE RECUPERARE, MEDICINA-FIZICA SI BALNEOLOGIE EFORIE NORD",Efosan,Judetul Constanta,Oras Eforie,"ALEEA SPECIALA, Bulevardul Republicii 1, 905350 Eforie Nord",28.6341118,44.0678445
"CT-SPITALUL CLINIC JUDETEAN DE URGENTA "" SF. APOSTOL ANDREI"" CONSTANTA",Spitalul Clinic Judetean de Urgenta Constanta,Judetul Constanta,Municipiu Constanta,"Bulevardul Tomis 145, 900591 Constanta",28.6424088,44.186097
CT-SPITALUL MUNICIPAL MEDGIDIA,Spitalul Municipal Medgidia,Judetul Constanta,Municipiu Medgidia,"Strada Ion Creanga 18, 905600 Medgidia",28.2721406,44.2397168
CT-SPITALUL ORASENESC CERNAVODA,Spitalul Orasenesc,Judetul Constanta,Oras Cernavoda,"Strada Gheorghe Doja 1A, 905200 Cernavoda",28.0443781,44.3416647
CT-SPITALUL ORASENESC HARSOVA,Spitalul Orasenesc Harsova,Judetul Constanta,Oras Harsova,"Strada Vadului 76, 905400 Harsova",27.9522938,44.6912779
CV-SPITALUL DE CARDIOLOGIE COVASNA,Spitalul de Recuperare Cardiovasculara Doctor Teculescu - Benedek Covasna,Judetul Covasna,Oras Covasna,"Spitalul de Recuperare Cardiovasculara Doctor Teculescu - Benedek Covasna, Strada Mihai Eminescu 160, 525200 Covasna",26.2097534,45.8452752
CV-SPITALUL JUDETEAN SF. GHEORGHE,Dr. Fogolyan Kristof Megyei Surgossegi Korhaz Sepsiszentgyorgy,Judetul Covasna,Municipiu Sfantu Gheorghe,"Strada Stadionului 1-3, 520064 Sfantu Gheorghe",25.7799072,45.8642327
CV-SPITALUL MUNICIPAL TG. SECUIESC,Spitalul Municipal Targu Secuiesc / Kezdivasarhelyi Municipiumi Korhaz,Judetul Covasna,Municipiu Targu Secuiesc,"Strada Fabricii 2A, 525400 Targu Secuiesc",26.1403504,45.9975597
CV-SPITALUL ORASENESC BARAOLT,Spitalul Orasenesc Baraolt,Judetul Covasna,Oras Baraolt,"Strada Kossuth Lajos 202, 525100 Baraolt",25.59169,46.07253
DB-Spitalul Judetean de Urgenta Targoviste,Spitalul Judetean de Urgenta Targoviste,Judetul Dambovita,Municipiu Targoviste,"Str. Tudor Vladimirescu 48, Targoviste",25.4501443,44.9227388
DB-Spitalul Municipal Moreni,Spitalul Municipal Moreni,Judetul Dambovita,Municipiu Moreni,"Bulevardul 22 Decembrie 1989 18, 135300 Moreni",25.6465779,44.9776826
DB-SPITALUL ORASENESC GAESTI,Spitalul Gaesti,Judetul Dambovita,Oras Gaesti,"Strada 13 Decembrie 170, 135200 Gaesti",25.3385828,44.7141435
DB-SPITALUL ORASENESC PUCIOASA,Spitalul Orasenesc Pucioasa,Judetul Dambovita,Oras Pucioasa,"Strada Republicii 125, 135400 Pucioasa",25.4351096,45.0750629
DJ-Centrul Medical Renasterea SRL,Renasterea,Judetul Dolj,Municipiu Craiova,"Strada Doljului Nr. 35, Craiova",23.8012986,44.329079
DJ-CENTRUL MEDICAL SF. ANTONIE SRL,Centrul Medical St. Antonie,Judetul Dolj,Municipiu Craiova,"Strada Rovinari, 200533 Craiova",23.8132988,44.3072733
DJ-SPITALUL CLINIC C.F.  CRAIOVA,Spitalul Clinic CFR Craiova,Judetul Dolj,Municipiu Craiova,"Bulevardul Stirbei Voda 6, 200374 Craiova",23.7939898,44.3139167
"DJ-SPITALUL CLINIC DE BOLI INFECTIOASE SI PNEUMOFTIZIOLOGIE ""VICTOR BABES"" CRAIOVA NR.3","Spitalul de Boli Infectioase si Pneumoftiziologie ""Victor Babes"" Craiova",Judetul Dolj,Municipiu Craiova,"Calea Bucuresti 64 (fost 126, 200515 Craiova",23.8255283,44.3145591
DJ-SPITALUL CLINIC DE NEUROPSIHIATRIE CRAIOVA,Spitalul Clinic de Neuropsihiatrie Craiova,Judetul Dolj,Municipiu Craiova,"Calea Bucuresti 99, 200473 Craiova",23.8163804,44.317577
DJ-SPITALUL CLINIC MUNICIPAL FILANTROPIA CRAIOVA,Spitalul Clinic Municipal Filantropia,Judetul Dolj,Municipiu Craiova,"Strada Filantropiei 1, 200143 Craiova",23.7913818,44.3222824
DJ-SPITALUL DE PNEUMOFTIZIOLOGIE LEAMNA,Spitalul de Pneumoftiziologie Leamna,Judetul Dolj,Comuna Bucovat,"DJ552E, 207129 Leamna de Sus",23.7014734,44.303857
"DJ-SPITALUL ""FILISANILOR"" FILIASI",Spitalul Filisanilor,Judetul Dolj,Oras Filiasi,"Bulevardul Racoteanu 200, 205300 Filiasi",23.5027638,44.5582961
DJ-SPITALUL JUDETEAN CLINIC DE URGENTA CRAIOVA,Spitalul Clinic Judetean de Urgenta Craiova,Judetul Dolj,Municipiu Craiova,"Strada Tabaci 1, 200642 Craiova",23.7926289,44.305522
DJ-SPITALUL MUNICIPAL CALAFAT,Spitalul Municipal,Judetul Dolj,Municipiu Calafat,"Spitalul Municipal, Strada Traian Nr. 5, 205200 Calafat",22.9436486,43.994036
"DJ-SPITALUL MUNICIPAL ""PROF. DR. IRINEL POPESCU"" BAILESTI","Spitalul Municipal ""Profesor Doctor Irinel Popescu""",Judetul Dolj,Municipiu Bailesti,"Strada Victoriei 18A, 205100 Bailesti",23.3496067,44.0294725
DJ-SPITALUL ORASENESC ASEZ.BRANC. DABULENI,Spitalul Orasenesc Asezamintele Brancovenesti Dabuleni,Judetul Dolj,Oras Dabuleni,"Strada Unirii 13, 207220 Dabuleni",24.094187,43.8011926
DJ-SPITALUL ORASENESC SEGARCEA,Spitalul Orasenesc Segarcea,Judetul Dolj,Oras Segarcea,"Strada Unirii 50, 205400 Segarcea",23.743502,44.0996321
GJ-SPITALUL JUDETEAN DE URGENTA TG-JIU,Spitalul Judetean de Urgenta,Judetul Gorj,Municipiu Targu Jiu,"Strada Alexandru Ioan Cuza 1, 210140 Targu Jiu",23.2796113,45.0353467
GJ-SPITALUL ORASENESC BUMBESTI-JIU,Spitalul Orasenesc,Judetul Gorj,Oras Bumbesti-Jiu,"Strada Zorilor 1, 215100 Bumbesti-Jiu",23.3788417,45.1807715
GJ-SPITALUL ORASENESC NOVACI,Spitalul Orasenesc,Judetul Gorj,Oras Novaci,"Strada Gruiului 1, 215300 Novaci",23.6616741,45.17353
GJ-SPITALUL ORASENESC ROVINARI,Spitalul Orasenesc Sfantul Stefan,Judetul Gorj,Oras Rovinari,"Strada Jiului 1, 215400 Rovinari",23.1629923,44.8989855
GJ-SPITALUL ORASENESC TARGU-CARBUNESTI,Spitalul Orasenesc Targu Carbunesti,Judetul Gorj,Oras Targu Carbunesti,"Strada Eroilor 5, 215500 Targu Carbunesti",23.5137762,44.9624796
GL-DIAMED OBESITY SRL,DIAMED OBESITY SRL,Judetul Galati,Municipiu Galati,"Str. Gheorghe Doja 73, 800402 Galati",28.0290479,45.4339554
GL-FIZIOACTIV S.R.L,Terra Clinique,Judetul Galati,Municipiu Galati,"Strada Brailei, Galati",28.0470849,45.4305006
GL-SPITALUL CFR GALATI,Spitalul Clinic CFR Galati,Judetul Galati,Municipiu Galati,"Strada Alexandru Moruzzi 6, 800225 Galati",28.0614523,45.4389965
"GL-SPITALUL CLINIC DE BOLI INFECTIOASE ""SF.CUVIOASA PARASCHEVA"" GALATI","Spitalul de Boli Infectioase ""Sf. Cuvioasa Parascheva""",Judetul Galati,Municipiu Galati,"Strada Traian 393, Nr.393, Galati",28.0335467,45.4651538
"GL-SPITALUL DE OBSTETRICA-GINECOLOGIE ""BUNA VESTIRE"" GALATI","Spitalul de Obstetrica - Ginecologie ""Buna Vestire""",Judetul Galati,Municipiu Galati,"Strada Nicolae Alexandrescu 99, Galati",28.0437914,45.4445922
GL-Spitalul de Pneumoftiziologie,Spitalul de Pneumoftiziologie (TBC),Judetul Galati,Municipiu Galati,"Strada Stiintei 117, 800552 Galati",28.046375,45.4563871
GL-Spitalul de Psihiatrie Elisabeta Doamna,"Spitalul Clinic de Psihiatrie ""Elisabeta Doamna""",Judetul Galati,Municipiu Galati,"Strada Traian 290, 800179 Galati",28.038961,45.4593296
"GL-SPITALUL JUDETEAN DE URGENTA ""SF. APOSTOL ANDREI"" GALATI",Spitalul Clinic Judetean de Urgenta Sfantul Apostol Andrei,Judetul Galati,Municipiu Galati,"Strada Brailei 177, 800578 Galati",28.0189584,45.4198282
"GL-SPITALUL MUNICIPAL ""ANTON CINCU"" TECUCI","Spitalul Municipal ""Anton Cincu""",Judetul Galati,Municipiu Tecuci,"Strada Costache Conachi 35, 805300 Tecuci",27.4371171,45.8472489
GL-SPITALUL ORASENESC TG.BUJOR,Spitalul Orasenesc Targu Bujor,Judetul Galati,Oras Targu Bujor,"DJ242 97, 805200 Targu Bujor",27.9127923,45.8694475
"GL-SPITALUL PENTRU COPII ""SF. IOAN"" GALATI","Spitalul de Urgenta pentru Copii ""Sfantul Ioan""",Judetul Galati,Municipiu Galati,"Strada Gheorghe Asachi 2, 800487 Galati",28.0236185,45.4311142
GR-SPITALUL JUDETEAN DE URGENTA GIURGIU,Spitalul Judetean de Urgenta,Judetul Giurgiu,Municipiu Giurgiu,"Bulevardul Bucuresti 82, 080272 Giurgiu",25.9694065,43.8979455
GR-SPITALUL ORASENESC BOLINTIN VALE,Spitalul Orasenesc,Judetul Giurgiu,Comuna Bolintin-Deal,"Strada Republicii 5, 085100 Bolintin-Vale",25.8210598,44.4536483
HD-MEDICOVER SRL PUNCT DE LUCRU DEVA,Medicover Laurus Deva,Judetul Hunedoara,Municipiu Deva,"Bulevardul 22 Decembrie nr. 6, etaj 3, 000000 Deva",22.9061909,45.8755679
HD-Sanatoriul de Pneumoftiziologie Brad,Sanatoriul de Pneumoftiziologie Brad,Judetul Hunedoara,Municipiu Brad,"str. Magura 25, 335200 Brad",22.8244769,46.1352308
HD-SPITALUL DE URGENTA PETROSANI,Spitalul Municipal Petrosani,Judetul Hunedoara,Municipiu Petrosani,"Strada 1 Decembrie 1918 1917, 137A, 332058 Petrosani",23.376411,45.4075904
HD-SPITALUL GENERAL CF SIMERIA,Spitalul Clinic CFR Simeria,Judetul Hunedoara,Oras Simeria,"Strada Avram Iancu 26, 335900 Simeria",23.0148786,45.8479508
HD-SPITALUL JUDETEAN DE URGENTA DEVA,Spitalul Judetean de Urgenta,Judetul Hunedoara,Municipiu Deva,"Bulevardul 22 Decembrie 58, Deva",22.9048592,45.8766355
HD-SPITALUL MUNICIPAL BRAD,Spitalul Municipal Brad,Judetul Hunedoara,Municipiu Brad,"Strada Spitalului 3, 335200 Brad",22.7904571,46.1266598
"HD-Spitalul Municipal ""Dr. Alexandru Simionescu"" Hunedoara",Spitalul Municipal Doctor Alexandru Simionescu,Judetul Hunedoara,Municipiu Hunedoara,"Strada Victoriei 14, 331057 Hunedoara",22.9069082,45.7497063
HD-SPITALUL MUNICIPAL LUPENI,Spitalul Municipal Lupeni,Judetul Hunedoara,Municipiu Lupeni,"Strada Tudor Vladimirescu 24, 335600 Lupeni",23.2179179,45.3549714
HD-SPITALUL MUNICIPAL ORASTIE,Spitalul Municipal Orastie,Judetul Hunedoara,Municipiu Orastie,"Strada Pricazului nr. 16, 335700 Orastie",23.187311,45.8421832
HD-SPITALUL  MUNICIPAL VULCAN,Spitalul Municipal,Judetul Hunedoara,Municipiu Vulcan,"Bulevardul Nicolae Titulescu 59, 336200 Vulcan",23.2938466,45.3778895
HR-SPITAL MUNICIPAL TOPLITA,Spitalul Municipal Toplita,Judetul Harghita,Municipiu Toplita,"Strada Victor Babes 26, 535700 Toplita",25.3562436,46.9222858
HR-Spitalul de psihiatrie Tulghes,Spitalul de Psihiatrie Tulghes,Judetul Harghita,Comuna Tulghes,537330 Tulghes,25.7608833,46.9590773
HR-SPITALUL JUDETEAN MIERCUREA CIUC,Spitalul judetean de urgenta Miercurea Ciuc,Judetul Harghita,Municipiu Miercurea Ciuc,"Strada Doctor Denes Laszlo 2, 530173 Miercurea Ciuc",25.8079312,46.3485407
HR-SPITALUL MUNICIPAL GHEORGHIENI,Spitalul Municipal Gheorgheni,Judetul Harghita,Municipiu Gheorgheni,"Bulevardul Lacu Rosu 16, 535500 Gheorgheni",25.6022926,46.7234873
HR-SPITALUL MUNICIPAL ODORHEIU SECUIESC,Spitalul Municipal,Judetul Harghita,Municipiu Odorheiu Secuiesc,"Strada Bethlen Gabor 72, 535600 Odorheiu Secuiesc",25.3003355,46.3073644
HR-VISION 2009 SRL,Szempont Optika,Judetul Harghita,Municipiu Odorheiu Secuiesc,"Strada Mihai Eminescu 10, 535600 Odorheiu Secuiesc",25.2870924,46.3074733
IF-CARDIO-REC SRL,CardioRec - Auxologico,Judetul Ilfov,Comuna Corbeanca,"Soseaua Unirii 187, 077065 Corbeanca",26.0421869,44.5939368
IF-SPITALUL DE OBSTETRICA GINECOLOGIE BUFTEA,Spitalul de Obstetrica Ginecologie Buftea,Judetul Ilfov,Oras Buftea,"Strada Studioului 5, 070000 Buftea",25.9383437,44.5764663
"IF-SPITALUL DE PSIHIATRIE ""EFTIMIE DIAMANDESCU"" BALACEANCA","Spitalul de Psihiatrie ""Eftimie Diamandescu""",Judetul Ilfov,Comuna Cernica,"Soseaua Garii Nr. 56, 077036 Balaceanca",26.2910518,44.3913764
IL-SPITAL MUNICIPAL FETESTI,SPITALUL MUNICIPAL FETESTI,Judetul Ialomita,Municipiu Fetesti,"Strada Calarasi 475, 925100 Fetesti",27.8278636,44.4082698
IL-SPITAL MUNICIPAL URZICENI,Spitalul Municipal Urziceni,Judetul Ialomita,Municipiu Urziceni,"Strada Teilor 39, 925300 Urziceni",26.649198,44.7114203
IL-SPITALUL JUDETEAN DE URGENTA SLOBOZIA,Spitalul Judetean de Urgenta Ialomita,Judetul Ialomita,Municipiu Slobozia,"Strada Decebal 3 etaj 8, 920013 Slobozia",27.3612511,44.5670985
