Titlu,nume,judet,oras,adresa,longitudine,latitudine
B-INSTITUTUL DE FONOAUDIOLOGIE SI CHIRURGIE FUNCTIONALA ORL PROF DR D HOCIOTA - IFACF,"Institutul de Fonoaudiologie si Chirurgie Functionala O.R.L. ""Prof. Dr. Dorin Hociota""",Bucuresti,Municipiul Bucuresti,"Strada Mihail Cioranu 21, 061344 Bucuresti",26.0745384,44.4256214
B-INSTITUTUL DE PNEUMOFTIZIOLOGIE MARIUS NASTA,"Institutul de Pneumoftiziologie ""Marius Nasta""",Bucuresti,Municipiul Bucuresti,"Soseaua Viilor 90, 050159 Bucuresti",26.092009,44.4074201
B-INSTITUTUL DE URGENTA PENTRU BOLI CARDIOVASCULARE PROF DR CC ILIESCU,Institutul de Urgenta pentru Boli Cardiovasculare C.C. Iliescu,Bucuresti,Municipiul Bucuresti,"Institutul Clinic Fundeni, Soseaua Fundeni 258, 022328 Bucuresti",26.1531585,44.4651479
B-INSTITUTUL NATIONAL DE DIABET NUTRITIE SI BOLI METABOLICE PROF DR.N.PAULESCU,"Institutul National de Diabet, Nutritie si Boli Metabolice ""Prof. Dr. N. C. Paulescu""",Bucuresti,Municipiul Bucuresti,"020475, Strada Ion Movila 5-7, 030167 Bucuresti",26.110544,44.4446079
B-INSTITUTUL NATIONAL DE ENDOCRINOLOGIE CI PARHON,"Institutul National de Endocrinologie ""C.I. Parhon""",Bucuresti,Municipiul Bucuresti,"Bulevardul Aviatorilor 34-36, Bucuresti",26.086907,44.4604422
B-INSTITUTUL NATIONAL DE GERONTOLOGIE SI GERIATRIE ANA ASLAN,"Institutul National de Gerontologie si Geriatrie ""Ana Aslan""",Bucuresti,Municipiul Bucuresti,"Strada Caldarusani 9, 11241 Bucuresti",26.0742541,44.4566107
B-INSTITUTUL NATIONAL DE NEUROLOGIE SI BOLI NEUROVASCULARE,Institutul National de Neurologie si Boli Neurovasculare,Bucuresti,Municipiul Bucuresti,"Soseaua Berceni 10-12, 077160 Bucuresti",26.1251569,44.3872447
"B-INSTITUTUL NATIONAL DE RECUPERARE, MEDICINA FIZICA SI BALNEOCLIMATOLOGIE","Institutul National de Recuperare, Medicina Fizica si Balneoclimatologie",Bucuresti,Municipiul Bucuresti,"Strada Sfantul Dumitru 2, 030167 Bucuresti",26.0986092,44.4310232
B-INSTITUTUL NATIONAL PENTRU SANATATEA MAMEI SI COPILULUI ALLESANDRESCU RUSESCU,"Institutul National pentru Sanatatea Mamei si Copilului ""Alessandrescu-Rusescu""",Bucuresti,Municipiul Bucuresti,"Bulevardul Lacul Tei 120, 20382 Bucuresti",26.1228644,44.4627743
B-INSTITUTUL ONCOLOGIC PROF DR AL TRESTIOREANU,Institutul Oncologic Bucuresti Profesor Doctor Alexandru Trestioreanu,Bucuresti,Municipiul Bucuresti,"Soseaua Fundeni 252, 022328 Bucuresti",26.1575403,44.4634244
